,FrameName,frameDefinitions,frameExamples,role,roleExamples
0,Entity,This frame is for words that denote highly schematic entities.,We found an unusual wooden <t>object</t> in the desert.,Entity,
0,Ranked_expectation,An Entity is rated as unexpected for its context in terms of its magnitude.,The <t>entire</t> apple was riddled with worms .,Entity,The entire <fex>day</fex> was spent on the project .
0,Interrupt_process,A Cause (or associated Actor) causes an ongoing Process to temporarily stop.,The error <t>interrupted</t> the process.,Cause,<fex>Leaving the page after you've clicked 'Download'</fex> will interrupt the transfer.
0,Interrupt_process,A Cause (or associated Actor) causes an ongoing Process to temporarily stop.,The error <t>interrupted</t> the process.,Process,Leaving the page after you've clicked 'Download' will interrupt <fex>the transfer</fex>.
0,Interrupt_process,A Cause (or associated Actor) causes an ongoing Process to temporarily stop.,The error <t>interrupted</t> the process.,Actor,In such cases <fex>the server</fex> will automatically interrupt the process.
0,Interrupt_process,A Cause (or associated Actor) causes an ongoing Process to temporarily stop.,The error <t>interrupted</t> the process.,Time,
0,Interrupt_process,A Cause (or associated Actor) causes an ongoing Process to temporarily stop.,The error <t>interrupted</t> the process.,Place,
0,Health_response,"A Protagonist is sensitive to a Trigger, which has the potential to cause some kind of reaction in the Protagonist.  '' 'Mr. Clinton and his wife Hillary are allergic to cats.'",Mr. Clinton and his wife Hillary are <t>allergic</t> to cats.,Protagonist,<fex>Pat's</fex> allergy to dairy products is severe.
0,Health_response,"A Protagonist is sensitive to a Trigger, which has the potential to cause some kind of reaction in the Protagonist.  '' 'Mr. Clinton and his wife Hillary are allergic to cats.'",Mr. Clinton and his wife Hillary are <t>allergic</t> to cats.,Trigger,Some people are very sensitive <fex>to chemicals in the environment</fex>.
0,Emotions_by_possibility,"An Experiencer, Expressor, Event, or State can be described as characterized by a particular emotion as evoked by a possibility in their future (Stimulus) or concerning a given Topic.",,Experiencer,
0,Emotions_by_possibility,"An Experiencer, Expressor, Event, or State can be described as characterized by a particular emotion as evoked by a possibility in their future (Stimulus) or concerning a given Topic.",,Topic,
